price,rooms,bathrooms,squarefootage,province,amountamenities
1928225.0,2.0,2.0,106.0,Santo Domingo,1.0
60775.0,1.0,1.0,70.0,Santo Domingo,1.0
58012.5,2.0,1.0,105.0,Santo Domingo,9.0
66300.0,1.0,1.0,70.0,Santo Domingo,8.0
828750.0,3.0,2.0,80.0,Santo Domingo,21.0
1381250.0,2.0,1.0,70.0,Santo Domingo,9.0
58012.5,2.0,1.0,110.0,Santo Domingo,3.0
74587.49999999999,4.0,1.0,135.0,Santo Domingo,28.0
60775.0,3.0,5.0,166.0,Santo Domingo,18.0
46962.5,1.0,1.0,80.0,Santo Domingo,12.0
77350.0,2.0,2.0,120.0,Santo Domingo,13.0
397800000.0,2.0,2.0,97.0,Santo Domingo,14.0
38675.0,1.0,1.0,70.0,Santo Domingo,29.0
88400.0,1.0,1.0,70.0,Santo Domingo,5.0
55250.0,2.0,1.0,125.0,Santo Domingo,1.0
99450.0,2.0,1.0,150.0,Santo Domingo,25.0
71825.0,2.0,1.0,120.0,Santo Domingo,9.0
46962.5,2.0,1.0,80.0,Santo Domingo,1.0
55250.0,2.0,1.0,93.0,Santo Domingo,17.0
82875.0,3.0,1.0,204.0,Santo Domingo,10.0
2486250.0,2.0,1.0,105.0,Santo Domingo,13.0
46962.5,2.0,1.0,86.0,Santo Domingo,1.0
69062.5,1.0,1.0,65.0,Santo Domingo,3.0
138125.0,3.0,1.0,200.0,Santo Domingo,1.0
745875.0,2.0,0.0,64.0,Santo Domingo,1.0
66300.0,nan,2.0,100.0,Santo Domingo,3.0
58012.5,2.0,1.0,70.0,Santo Domingo,7.0
49725.0,2.0,2.0,80.0,Santo Domingo,2.0
1381250.0,2.0,1.0,70.0,Santo Domingo,10.0
32873.75,2.0,1.0,70.0,Santo Domingo,7.0
2486250.0,3.0,1.0,12.0,Santo Domingo,14.0
58012.5,2.0,1.0,90.0,Santo Domingo,3.0
